,Disease,Symptoms,Average Duration
25,Ichthyosis Vulgaris,"polygon-shaped brown, gray, or white scales
dry, itchy, thickened skin
flaky scalp",Lifetime
26,Dermatomyositis,"red or violet rash on the face, chest, nails, or elbows
muscle weakness that starts in the neck, arms, or hips
most common between the ages of 5 and 15 or 40 and 60",Lifetime
27,Molluscum Contagiosum,"bumps that may appear in a patch of up to 20
small, shiny, and smooth
flesh-colored, white, or pink
firm and dome-shaped with a dent or dimple in the middle",2 years
28,Ingrown Nails,"skin next to the nail becomes tender, swollen, or hard
pain, bleeding, or oozing pus
overgrowth of skin around toe",1 week
29,Acrodermatitis,"affects children between the ages of 6 and 12
itchy, red blisters usually on the arms, thighs, and buttocks
blisters may turn purple and fill with fluid",2 months
30,Sebaceous Cyst,"found on the face, neck, or torso
large cysts may cause pressure and pain
very slow-growing",Lifetime until treated
31,Seborrheic Keratosis,"start out as small, rough areas
develop thick, wart-life surfaces over time
usually oval-shaped and brown",Lifetime until treated
32,Pilonidal Sinus,"symptoms aren’t very noticeable until an infection occurs
pain when sitting or standing
swelling of the cyst
reddened, sore skin around the area",2 months
33,Keloid,"symptoms occur at the site of a previous injury
lumpy or rigid area of skin
area that is flesh-colored, pink, or red",Lifetime until treated
34,Lichen Planus,"purplish-colored bumps with flat tops (mostly found on the wrist, inner forearm, or ankles)
lesions that develop and spread over the course of two weeks to a few months
itching, blisters, and white lines over the rash
lesions in the mouth, which may burn or be painful",8 months
35,Actinic Keratosis,"known as ""age"" spots
skin patches that are brown, tan, gray, or pink
appear on parts of the body that receive a lot of sun exposure (hands, arms, face, scalp, and neck)
thick, scaly, or crusty skin patches",Lifetime until treated
36,Stasis Dermatitis and Leg Ulcers,"skin appears thin and itches
can crack and ooze fluid
skin thickens and appears brown and lumpy in later stages
ulcer forms in final stages",Lifetime until treated
37,Corns and Calluses,"small, round circles of thick skin
commonly found on the tops and sides of toes and soles of feet
caused by friction and pressure",3 months
38,Eczema,"itchy, dry, rough, flaky, inflamed, and irritated skin
red or brownish-gray patches
small, raised bumps that ooze fluid when scratched",Lifetime
39,Tinea Versicolor,"lighter or darker than the surrounding skin
dry, itchy, and scaly
more prominent with tanning",Lifetime until treated
40,Pemphigoid,"red rash followed by fluid-filled blisters
blisters are thick and don’t rupture easily
ruptured blisters are sensitive and painful",Lifetime until treated
41,Mouth Ulcers,"small lesions that develop in your mouth
minor sores are small and oval-shaped
major sores have irregular edges",2 weeks
42,Shingles,"itchy, red patches with fluid-filled blisters that break easily
rash that wraps around the spine and torso
may be accompanied with fever, chills, headache, or fatigue",5 weeks
